outer_tick,iter,abs[T],rel[T],flops,elapsed_s
0,0,54,1,0,1.886e-06
0,1,39.5267,0.731976,106440,0.016282
0,2,31.3212,0.580022,106440,0.0326331
0,3,21.8697,0.404994,106440,0.0492261
0,4,21.5328,0.398756,106440,0.0656934
0,5,13.8972,0.257355,106440,0.0827837
0,6,16.8191,0.311465,106440,0.0995081
0,7,11.6878,0.21644,106440,0.116465
0,8,10.3289,0.191275,106440,0.133132
0,9,10.3017,0.190772,106440,0.149906
0,10,8.48104,0.157056,106440,0.166808
0,11,8.09707,0.149946,106440,0.183645
0,12,7.91767,0.146623,106440,0.200768
0,13,8.00011,0.14815,106440,0.217435
0,14,8.29978,0.1537,106440,0.234361
0,15,5.91763,0.109586,106440,0.251296
0,16,6.65919,0.123318,106440,0.268364
0,17,6.61152,0.122435,106440,0.285186
0,18,6.24582,0.115663,106440,0.301918
0,19,5.0758,0.0939963,106440,0.318577
0,20,5.15585,0.0954788,106440,0.335259
0,21,5.24604,0.0971489,106440,0.351822
0,22,4.78821,0.0886706,106440,0.368669
0,23,4.37115,0.0809472,106440,0.38533
0,24,4.60163,0.0852153,106440,0.402987
0,25,4.75331,0.0880242,106440,0.419603
0,26,3.96334,0.0733951,106440,0.436115
0,27,3.66998,0.0679626,106440,0.45281
0,28,4.3329,0.0802389,106440,0.469404
0,29,3.76943,0.0698043,106440,0.48608
0,30,3.42248,0.0633793,106440,0.502669
0,31,3.45648,0.0640088,106440,0.519267
0,32,3.9143,0.072487,106440,0.536078
0,33,2.95242,0.0546745,106440,0.552575
0,34,3.24552,0.0601022,106440,0.56921
0,35,3.27983,0.0607377,106440,0.585858
0,36,3.28899,0.0609072,106440,0.602443
0,37,2.73588,0.0506645,106440,0.619312
0,38,3.2301,0.0598166,106440,0.635868
0,39,3.15581,0.0584409,106440,0.652824
0,40,2.95629,0.0547462,106440,0.669735
0,41,2.73873,0.0507172,106440,0.686429
0,42,2.66087,0.0492755,106440,0.703062
0,43,2.85073,0.0527913,106440,0.719892
0,44,2.23646,0.041416,106440,0.736665
0,45,2.16493,0.0400913,106440,0.753472
0,46,2.18885,0.0405342,106440,0.770145
0,47,1.66836,0.0308956,106440,0.786867
0,48,1.0209,0.0189056,106440,0.803579
0,49,0.713523,0.0132134,106440,0.820271
0,50,0.502625,0.00930788,106440,0.837242
0,51,0.298632,0.00553022,106440,0.854108
0,52,0.18172,0.00336518,106440,0.871114
0,53,0.0925706,0.00171427,106440,0.887862
0,54,0.0479403,0.000887783,106440,0.904703
0,55,0.0266511,0.000493539,106440,0.921399
0,56,0.0134557,0.00024918,106440,0.938437
0,57,0.00812561,0.000150474,106440,0.955147
0,58,0.00486742,9.01373e-05,106440,0.971854
0,59,0.00225469,4.17535e-05,106440,0.988525
0,60,0.00132803,2.45932e-05,106440,1.00538
0,61,0.000794362,1.47104e-05,106440,1.02214
0,62,0.000581345,1.07656e-05,106440,1.03899
0,63,0.000442067,8.18642e-06,106440,1.05571
0,64,0.00026494,4.90629e-06,106440,1.07236
0,65,0.000151257,2.80105e-06,106440,1.08927
0,66,8.45431e-05,1.56561e-06,106440,1.10633
0,67,5.12021e-05,9.48188e-07,106440,1.12302
0,68,3.39548e-05,6.28793e-07,106440,1.14007
0,69,2.07458e-05,3.84181e-07,106440,1.1569
0,70,1.30834e-05,2.42285e-07,106440,1.17365
0,71,7.73207e-06,1.43186e-07,106440,1.19052
0,72,4.62951e-06,8.57318e-08,106440,1.20739
0,73,2.71454e-06,5.02693e-08,106440,1.22424
0,74,1.52622e-06,2.82634e-08,106440,1.24105
0,75,1.01688e-06,1.88312e-08,106440,1.2581
0,76,6.81415e-07,1.26188e-08,106440,1.27491
0,77,4.61068e-07,8.53829e-09,106440,1.29174
0,78,3.05958e-07,5.66589e-09,106440,1.30868
0,79,1.83732e-07,3.40245e-09,106440,1.32569
0,80,1.02609e-07,1.90018e-09,106440,1.34246
0,81,5.10718e-08,9.45775e-10,106440,1.35926
0,82,3.00033e-08,5.55616e-10,106440,1.37624
0,83,1.54107e-08,2.85383e-10,106440,1.39328
0,84,9.27806e-09,1.71816e-10,106440,1.41202
0,85,5.39811e-09,9.99651e-11,106440,1.43075
